user,churn,age,deposits,purchases_partners,purchases,cc_recommended,cc_application_begin,reward_rate,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly,zodiac_sign_Aquarius,zodiac_sign_Aries,zodiac_sign_Cancer,zodiac_sign_Capricorn,zodiac_sign_Gemini,zodiac_sign_Leo,zodiac_sign_Libra,zodiac_sign_Pisces,zodiac_sign_Sagittarius,zodiac_sign_Scorpio,zodiac_sign_Taurus,zodiac_sign_Virgo
23547,0,28.0,0,1,0,96,5,1.47,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
58313,0,35.0,47,86,47,285,9,2.17,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8095,0,26.0,26,38,25,74,26,1.1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3120,1,32.0,5,111,5,227,17,1.83,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41406,0,21.0,0,4,0,0,0,0.06999999999999999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21269,0,28.0,0,0,0,47,9,0.87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25788,0,23.0,1,87,1,125,3,1.0699999999999998,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25899,0,41.0,14,116,13,217,45,2.17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20839,0,20.0,0,135,0,286,21,2.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13019,0,27.0,2,48,2,127,18,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30419,1,24.0,6,24,6,55,4,0.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30693,0,31.0,17,62,17,180,22,1.4300000000000002,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25997,0,37.0,0,39,0,74,6,1.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13813,1,30.0,6,11,6,20,3,0.4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19184,1,44.0,0,0,0,4,4,0.16999999999999998,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34210,1,52.0,0,0,0,74,1,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57598,1,25.0,0,0,0,32,7,0.47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57608,1,22.0,0,0,0,67,5,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46960,0,29.0,0,1,0,0,0,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28827,0,25.0,0,3,0,3,0,0.14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25823,1,36.0,0,83,0,153,15,0.97,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42910,0,45.0,48,76,48,204,58,1.93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58305,1,31.0,0,0,0,63,2,0.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2707,0,45.0,0,0,0,170,16,1.97,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6919,0,28.0,0,0,0,207,4,2.17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44486,0,24.0,0,37,0,60,4,0.77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43254,1,42.0,0,0,0,5,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16514,0,27.0,0,0,0,206,22,2.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8169,0,26.0,0,57,0,154,2,1.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23859,0,32.0,0,87,0,112,8,1.23,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2351,0,21.0,1,26,1,133,6,1.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46400,1,38.0,12,79,12,105,12,1.23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11790,0,29.0,2,57,2,185,5,1.53,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40595,1,24.0,3,56,3,93,8,0.83,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36757,0,40.0,0,22,0,40,2,0.5700000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49320,1,22.0,0,0,0,11,0,0.06999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1826,1,48.0,33,16,31,185,14,1.5699999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10539,1,39.0,0,8,0,23,3,0.13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8143,0,32.0,0,59,0,289,14,2.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
